Year,Month,StockCode,Description,CurrentMonthSales,LastYearSameMonthSales,YoY_PercentChange
2011,12,23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,0.0,0
2011,12,23084,RABBIT NIGHT LIGHT,6889.76,0.0,0
2011,12,21137,BLACK RECORD COVER FRAME,4988.27,10332.39,-51.72
2011,12,22423,REGENCY CAKESTAND 3 TIER,4545.03,26092.8,-82.58
2011,12,22413,METAL SIGN TAKE IT OR LEAVE IT,3999.65,472.0,747.38
2011,11,23084,RABBIT NIGHT LIGHT,23268.73,0.0,0
2011,11,22086,PAPER CHAIN KIT 50'S CHRISTMAS,16139.01,13493.25,19.61
2011,11,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13855.83,17064.73,-18.8
2011,11,22423,REGENCY CAKESTAND 3 TIER,11064.24,22257.45,-50.29
2011,11,85099B,JUMBO BAG RED RETROSPOT,10713.99,10682.85,0.29
2011,10,23084,RABBIT NIGHT LIGHT,11955.35,0.0,0
2011,10,22423,REGENCY CAKESTAND 3 TIER,11920.65,21460.2,-44.45
2011,10,23284,DOORMAT KEEP CALM AND COME IN,11006.12,0.0,0
2011,10,85099B,JUMBO BAG RED RETROSPOT,9763.06,7578.45,28.83
2011,10,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8854.49,7635.65,15.96
2011,9,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,9842.92,0.0,0
2011,9,22423,REGENCY CAKESTAND 3 TIER,8570.13,22460.1,-61.84
2011,9,85099B,JUMBO BAG RED RETROSPOT,7992.01,12007.05,-33.44
2011,9,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6789.0,11397.65,-40.44
2011,9,23355,HOT WATER BOTTLE KEEP CALM,6141.3,0.0,0
2011,8,85099B,JUMBO BAG RED RETROSPOT,9871.44,3049.2,223.74
2011,8,84879,ASSORTED COLOUR BIRD ORNAMENT,9665.93,4953.55,95.13
2011,8,22423,REGENCY CAKESTAND 3 TIER,8934.45,11015.4,-18.89
2011,8,47566,PARTY BUNTING,6306.05,13.95,45104.66
2011,8,23298,SPOTTY BUNTING,6214.45,0.0,0
2011,7,22423,REGENCY CAKESTAND 3 TIER,12225.0,16648.2,-26.57
2011,7,47566,PARTY BUNTING,10311.15,27.9,36857.53
2011,7,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8303.97,10239.7,-18.9
2011,7,23298,SPOTTY BUNTING,6362.4,0.0,0
2011,7,85099B,JUMBO BAG RED RETROSPOT,5654.6,19.5,28897.95
2011,7,85099B,JUMBO BAG RED RETROSPOT,5654.6,6227.25,-9.2
2011,6,22502,PICNIC BASKET WICKER 60 PIECES,39619.5,1293.5,2962.97
2011,6,47566,PARTY BUNTING,8271.1,4283.05,93.11
2011,6,22423,REGENCY CAKESTAND 3 TIER,8229.1,14962.5,-45.0
2011,6,23173,REGENCY TEAPOT ROSES,6981.1,0.0,0
2011,6,85099B,JUMBO BAG RED RETROSPOT,6628.42,19.5,33891.9
2011,6,85099B,JUMBO BAG RED RETROSPOT,6628.42,78.0,8397.97
2011,6,85099B,JUMBO BAG RED RETROSPOT,6628.42,7423.95,-10.72
2011,5,47566,PARTY BUNTING,13437.95,8064.45,66.63
2011,5,22423,REGENCY CAKESTAND 3 TIER,11503.6,5878.8,95.68
2011,5,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10700.42,11737.0,-8.83
2011,5,23298,SPOTTY BUNTING,7187.55,0.0,0
